Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
RPS15	"MGC111130, RIG, S15"	ENSG00000115268	"Ribosomal protein S15"	P62841	19	1438358-1440495	"Cancer-related genes, Predicted intracellular proteins, Ribosomal proteins"		"Ribonucleoprotein, Ribosomal protein"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"							"HPA054510, HPA057793"	Enhanced		Approved	"Endoplasmic reticulum,Cytosol"			NA	NA		460000	"Cluster 18: Non-specific - Translation"	"Cluster 18: Non-specific - Ribosome"	"Cluster 7: Non-specific - Ribosome"	"Cluster 25: Non-specific - Ribosome"	"Cluster 64: Non-specific - Ribosome"	4	"Endoplasmic reticulum, Cytosol"		"HPA054510: AB_2682510, HPA057793: AB_2683528"	"unprognostic (4.47e-3)"	"unprognostic (1.30e-1)"	"unprognostic (6.58e-2)"	"unprognostic (1.08e-3)"	"unprognostic (5.98e-2)"	"unprognostic (2.05e-1)"	"unprognostic (4.33e-3)"	"unprognostic (4.42e-2)"	"unprognostic (2.58e-1)"	"unprognostic (2.73e-2)"	"unprognostic (3.28e-2)"	"unprognostic (5.00e-2)"	"unprognostic (1.44e-3)"	"unprognostic (5.21e-2)"	"unprognostic (5.21e-3)"	"unprognostic (1.46e-1)"	"unprognostic (2.61e-2)"
ABI1	"ABI-1, E3B1, SSH3BP1"	ENSG00000136754	"Abl interactor 1"	Q8IZP0	10	26746593-26861087	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Host-virus interaction"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Astrocytes: 263.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB008375, HPA068407"	Approved		Approved	"Plasma membrane,Cell Junctions"			NA	NA		440000	"Cluster 42: Non-specific - Vesicular transport"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 29: Forebrain - Mixed function"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 47: Astrocytes - Unknown function"	11	"Plasma membrane, Cell Junctions"		"CAB008375: AB_592744, HPA068407: AB_2685983"	"unprognostic (2.83e-3)"	"unprognostic (8.69e-2)"	"unprognostic (1.12e-1)"	"unprognostic (3.96e-1)"	"unprognostic (2.51e-2)"	"unprognostic (9.24e-3)"	"unprognostic (1.88e-3)"	"unprognostic (2.03e-1)"	"unprognostic (6.04e-2)"	"unprognostic (4.38e-1)"	"unprognostic (2.40e-2)"	"unprognostic (5.48e-2)"	"unprognostic (1.98e-1)"	"unprognostic (1.07e-1)"	"unprognostic (1.79e-1)"	"unprognostic (1.37e-1)"	"unprognostic (1.18e-1)"
AXIN2	"DKFZp781B0869, MGC126582"	ENSG00000168646	"Axin 2"	Q9Y2T1	17	65528563-65561648	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Wnt signaling pathway"	"Developmental protein"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Extravillous trophoblasts: 117.2"	"Cancer enhanced"	"Detected in all"		"colorectal cancer: 33.4"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"basophil: 3.2"	"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"colorectal cancer: 121.4;Gastric cancer: 86.5"	"Testis - Spermatogonia, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB012283, CAB017783"	Approved		Uncertain	"Nucleoplasm,Plasma membrane,Cytosol"			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 62: Connective tissue - ECM organization"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 32: Non-specific - Cell proliferation"	"Cluster 4: Extravillous trophoblasts - Unknown function"	36	"Nucleoplasm, Plasma membrane, Cytosol"		"CAB012283: AB_2290204, CAB017783: "	"unprognostic (1.31e-2)"	"unprognostic (1.29e-1)"	"unprognostic (1.05e-2)"	"unprognostic (3.45e-3)"	"unprognostic (4.48e-1)"	"unprognostic (9.81e-2)"	"unprognostic (1.12e-2)"	"unprognostic (1.82e-1)"	"unprognostic (4.57e-2)"	"unprognostic (8.84e-3)"	"prognostic favorable (6.58e-4)"	"unprognostic (1.98e-1)"	"unprognostic (1.42e-1)"	"unprognostic (3.45e-2)"	"unprognostic (2.10e-1)"	"unprognostic (2.74e-1)"	"unprognostic (1.25e-1)"
CD274	"B7-H, B7-H1, B7H1, PD-L1, PDCD1LG1, PDL1"	ENSG00000120217	"CD274 molecule"	Q9NZQ7	9	5450503-5470566	"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters"	"Adaptive immunity, Immunity"	Receptor	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lung: 16.3"	"Group enriched"	"Detected in many"	4	"Extravillous trophoblasts: 31.3;granulocytes: 43.8;Langerhans cells: 62.7;Syncytiotrophoblasts: 54.7"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"basophil: 6.7"	"Lineage enriched"	"Detected in many"	5	"granulocytes: 6.7"	"Low cancer specificity"	"Detected in many"			"Kidney - Endothelial cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA003528, CAB076385"	Enhanced		Approved	"Nucleoplasm,Plasma membrane,Actin filaments"			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 14: Langerhans cells - Innate immune response"	5	"Plasma membrane, Actin filaments"	Nucleoplasm	"CAB076385: AB_2687655, HPA003528: "	"prognostic favorable (8.89e-4)"	"unprognostic (4.54e-2)"	"prognostic favorable (1.64e-5)"	"unprognostic (1.27e-2)"	"unprognostic (2.96e-2)"	"unprognostic (1.08e-1)"	"unprognostic (4.61e-2)"	"unprognostic (1.44e-1)"	"unprognostic (1.68e-2)"	"unprognostic (5.67e-4)"	"unprognostic (7.39e-3)"	"unprognostic (1.69e-2)"	"unprognostic (1.24e-2)"	"unprognostic (1.35e-1)"	"unprognostic (1.49e-2)"	"unprognostic (2.67e-1)"	"unprognostic (9.02e-2)"
CTSV	"CTSL2, CTSU"	ENSG00000136943	"Cathepsin V"	O60911	9	97029677-97156556	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Hydrolase, Protease, Thiol protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	10	"lymphoid tissue: 626.7"	"Cell type enhanced"	"Detected in many"		"Basal respiratory cells: 67.3;Cytotrophoblasts: 135.0;Extravillous trophoblasts: 178.7;Rod photoreceptor cells: 93.7;Sertoli cells: 149.6;Syncytiotrophoblasts: 73.8"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	4	"plasmacytoid DC: 15.2"	"Lineage enriched"	"Detected in many"	4	"dendritic cells: 15.2"	"Cancer enriched"	"Detected in all"	7	"testis cancer: 681.3"	"Kidney - Proximal tubular cells, Testis - Sertoli cells"					"Low region specificity"	"Detected in all"			CAB017112	Uncertain		Approved	"Nucleoplasm,Nucleoli fibrillar center,Plasma membrane,Cytosol"	"Intracellular and membrane"	Enzyme	NA	NA		370000	"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 71: Thymus - Adaptive immune response"	"Cluster 9: Non-specific - Receptor signaling"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 4: Extravillous trophoblasts - Unknown function"		"Nucleoli fibrillar center, Cytosol"	"Nucleoplasm, Plasma membrane"	"CAB017112: "	"unprognostic (2.40e-1)"	"unprognostic (2.74e-2)"	"unprognostic (1.50e-1)"	"prognostic favorable (8.41e-4)"	"unprognostic (7.29e-2)"	"unprognostic (5.59e-2)"	"prognostic unfavorable (2.83e-5)"	"unprognostic (7.04e-3)"	"unprognostic (6.06e-2)"	"unprognostic (1.39e-2)"	"prognostic unfavorable (2.87e-4)"	"unprognostic (1.86e-2)"	"unprognostic (1.78e-1)"	"unprognostic (2.41e-2)"	"unprognostic (1.33e-1)"	"unprognostic (3.04e-3)"	"prognostic unfavorable (2.39e-4)"
CWC27	"NY-CO-10, SDCCAG-10, SDCCAG10"	ENSG00000153015	"CWC27 spliceosome associated cyclophilin"	Q6UX04	5	64766368-65102412	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"			"Disease variant, Dwarfism, Intellectual disability, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 273.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA020344, HPA024149, HPA065809"	Approved		Enhanced	Nucleoplasm			NA	NA			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 9: Non-specific - Receptor signaling"	"Cluster 22: Non-specific - mRNA splicing & Cell cycle"	"Cluster 21: Early spermatids - Spermatogenesis"		Nucleoplasm		"HPA020344: AB_1856644, HPA024149: AB_1856645, HPA065809: AB_2685561"	"unprognostic (1.71e-1)"	"unprognostic (6.47e-3)"	"unprognostic (2.79e-2)"	"unprognostic (1.80e-1)"	"unprognostic (8.91e-2)"	"unprognostic (4.00e-3)"	"prognostic unfavorable (5.27e-6)"	"unprognostic (1.58e-2)"	"unprognostic (3.43e-2)"	"unprognostic (1.21e-1)"	"unprognostic (1.48e-2)"	"unprognostic (2.04e-1)"	"unprognostic (2.07e-1)"	"unprognostic (2.46e-1)"	"unprognostic (2.05e-1)"	"unprognostic (2.74e-1)"	"unprognostic (7.45e-3)"
GMNN	Gem	ENSG00000112312	"Geminin DNA replication inhibitor"	O75496	6	24774931-24786099	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Cell cycle"	"DNA replication inhibitor"	"Cancer-related genes, Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"pancreas: 224.0"	"Cell type enhanced"	"Detected in all"		"Glandular and luminal cells: 191.6;Oocytes: 261.7;Paneth cells: 370.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Breast glandular cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB011458, CAB047327, CAB047328, HPA049977, HPA054597"	Enhanced		Supported	Nucleoplasm,Cytosol			Yes	No			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 15: Pancreas - Proteolysis"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 28: Non-specific - Nuclear processes"	"Cluster 37: Glandular & Luminal cells - Unknown function"	10	Nucleoplasm	Cytosol	"CAB011458: AB_2110946, CAB047327: , CAB047328: , HPA049977: AB_2680978, HPA054597: AB_2682538"	"unprognostic (1.37e-1)"	"unprognostic (3.43e-3)"	"unprognostic (3.91e-3)"	"unprognostic (1.52e-2)"	"unprognostic (1.28e-1)"	"unprognostic (4.37e-2)"	"unprognostic (2.90e-3)"	"unprognostic (8.29e-2)"	"unprognostic (1.23e-3)"	"prognostic favorable (4.13e-4)"	"prognostic unfavorable (9.77e-4)"	"unprognostic (1.33e-2)"	"prognostic unfavorable (7.82e-5)"	"unprognostic (2.25e-1)"	"unprognostic (7.92e-2)"	"unprognostic (3.63e-2)"	"unprognostic (5.90e-3)"
HDAC5	"FLJ90614, KIAA0600, NY-CO-9"	ENSG00000108840	"Histone deacetylase 5"	Q9UQL6	17	44076746-44123702	"Cancer-related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins"	"Transcription, Transcription regulation"	"Chromatin regulator, Hydrolase, Repressor"	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Syncytiotrophoblasts: 247.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Lung - Fibroblast_1"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB019400, HPA030991, HPA076420"	Approved		Supported	"Nuclear speckles,Golgi apparatus,Cytosol"			NA	NA			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 21: Testis - Unknown function"	"Cluster 16: Non-specific - Transcription"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 27: Syncytiotrophoblasts - Pregnancy"	6	"Nuclear speckles"	"Golgi apparatus, Cytosol"	"CAB019400: AB_2116626, HPA030991: AB_10795286, HPA076420: "	"unprognostic (1.30e-2)"	"prognostic favorable (6.14e-4)"	"unprognostic (6.65e-2)"	"unprognostic (8.06e-2)"	"unprognostic (3.49e-1)"	"unprognostic (3.52e-2)"	"prognostic unfavorable (3.12e-5)"	"unprognostic (8.80e-3)"	"unprognostic (3.80e-2)"	"unprognostic (2.37e-2)"	"unprognostic (4.91e-3)"	"unprognostic (4.30e-1)"	"prognostic favorable (3.30e-5)"	"unprognostic (1.51e-2)"	"unprognostic (3.11e-1)"	"unprognostic (6.00e-2)"	"unprognostic (1.76e-2)"
HECW2	"KIAA1301, NEDL2"	ENSG00000138411	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"	Q9P2P5	2	196189099-196593684	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Group enriched"	"Detected in many"	6	"Excitatory neurons: 320.2;Inhibitory neurons: 359.4;Oligodendrocyte precursor cells: 134.4;Oligodendrocytes: 428.7"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"neutrophil: 4.8;non-classical monocyte: 3.7"	"Group enriched"	"Detected in many"	8	"granulocytes: 4.8;monocytes: 3.7"	"Cancer enhanced"	"Detected in many"		"Adrenocortical cancer: 8.9"	"Liver - Sinusoid Endothelial cells, Lung - Endothelial cells, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA034609	Enhanced						NA	NA			"Cluster 28: Neutrophils - Unknown function"	"Cluster 34: Non-specific - Mixed function"	"Cluster 34: Non-specific - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 65: Neurons - Synaptic function"	1			"HPA034609: AB_10669993"	"unprognostic (2.65e-2)"	"unprognostic (3.89e-1)"	"unprognostic (1.42e-1)"	"unprognostic (9.00e-3)"	"unprognostic (2.55e-1)"	"unprognostic (4.28e-2)"	"unprognostic (7.63e-3)"	"unprognostic (1.23e-1)"	"unprognostic (2.61e-2)"	"unprognostic (7.05e-2)"	"unprognostic (4.16e-2)"	"unprognostic (2.27e-1)"	"prognostic unfavorable (5.18e-5)"	"unprognostic (8.05e-3)"	"unprognostic (5.20e-2)"	"unprognostic (1.49e-1)"	"unprognostic (4.48e-2)"
JAK2	JTK10	ENSG00000096968	"Janus kinase 2"	O60674	9	4984390-5129948	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Adaptive immunity, Immunity, Innate immunity"	"Chromatin regulator, Kinase, Transferase, Tyrosine-protein kinase"	"Cancer-related genes, Disease variant, FDA approved drug targets, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 90.3;Inhibitory neurons: 117.1;Microglial cells: 102.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"basophil: 133.0"	"Lineage enriched"	"Detected in all"	5	"granulocytes: 133.0"	"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB013089, HPA040820, HPA043870"	Approved		Supported	"Nucleoplasm,Plasma membrane,Focal adhesion sites"			No	No			"Cluster 46: Basophils - Proteolysis"	"Cluster 7: Adipose tissue - Mixed function"	"Cluster 53: Neurons - Mixed function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 29: Monocytes - Innate immune response"	5	Nucleoplasm	"Plasma membrane, Focal adhesion sites"	"CAB013089: AB_2533647, HPA040820: AB_2677151, HPA043870: AB_2678708"	"unprognostic (2.24e-3)"	"unprognostic (2.76e-2)"	"unprognostic (1.50e-2)"	"unprognostic (7.67e-2)"	"unprognostic (5.50e-2)"	"unprognostic (3.09e-2)"	"unprognostic (1.48e-1)"	"unprognostic (7.36e-2)"	"unprognostic (1.09e-1)"	"unprognostic (5.49e-3)"	"unprognostic (1.58e-1)"	"unprognostic (1.72e-2)"	"unprognostic (3.85e-1)"	"unprognostic (4.53e-2)"	"unprognostic (3.43e-2)"	"unprognostic (1.96e-1)"	"unprognostic (7.37e-3)"
RPSA	"37LRP, LAMR1, LRP, p40, SA"	ENSG00000168028	"Ribosomal protein SA"	P08865	3	39406716-39426255	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins"	"Host-virus interaction"	"Host cell receptor for virus entry, Receptor, Ribonucleoprotein, Ribosomal protein"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"							CAB009561	Approved		Supported	"Plasma membrane,Cytosol"			NA	NA		1200000	"Cluster 24: Non-specific - Transcription"	"Cluster 18: Non-specific - Ribosome"	"Cluster 7: Non-specific - Ribosome"	"Cluster 25: Non-specific - Ribosome"	"Cluster 64: Non-specific - Ribosome"	11	"Plasma membrane, Cytosol"		"CAB009561: AB_2182543"	"unprognostic (3.67e-3)"	"unprognostic (2.92e-1)"	"unprognostic (3.97e-2)"	"unprognostic (3.72e-2)"	"unprognostic (5.38e-2)"	"unprognostic (5.10e-2)"	"unprognostic (5.84e-3)"	"unprognostic (2.54e-1)"	"unprognostic (1.69e-1)"	"unprognostic (2.36e-2)"	"unprognostic (8.56e-2)"	"unprognostic (7.50e-2)"	"unprognostic (2.91e-2)"	"unprognostic (3.18e-1)"	"unprognostic (2.77e-1)"	"unprognostic (1.73e-1)"	"unprognostic (1.46e-1)"
STAP1	"BRDG1, STAP-1"	ENSG00000035720	"Signal transducing adaptor family member 1"	Q9ULZ2	4	67558727-67607337	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	6	"lymphoid tissue: 49.5"	"Cell type enhanced"	"Detected in some"		"B-cells: 67.3;dendritic cells: 22.3;Distal tubular cells: 27.7;granulocytes: 72.5;Plasma cells: 123.2"	"Cancer enriched"	"Detected in many"	7	"renal cancer: 13.0"	"Region enhanced"	"Detected in single"		"hippocampal formation: 1.2"	"Immune cell enhanced"	"Detected in many"		"memory B-cell: 88.5;naive B-cell: 108.3"	"Low lineage specificity"	"Detected in many"			"Cancer enriched"	"Detected in some"	5	"lymphoma: 71.2"	"Colon - Mast cells, Kidney - Intercalated cells, Testis - Early spermatids"	"Region enriched"	"Detected in single"	5	"cerebellum: 2.3"	"Low region specificity"	"Detected in all"			"HPA038529, HPA058018"	Enhanced		Supported	"Nucleoplasm,Centriolar satellite,Mitochondria,Cytosol"			NA	NA			"Cluster 14: Non-specific - Unknown function"	"Cluster 36: Lymphoid tissue - Cytokine signaling"	"Cluster 29: Forebrain - Mixed function"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 73: B-cells - B-cell function"	3	"Nucleoplasm, Mitochondria, Cytosol"	"Centriolar satellite"	"HPA038529: AB_10673011, HPA058018: "	"unprognostic (1.14e-4)"	"unprognostic (1.49e-3)"	"unprognostic (2.30e-2)"	"unprognostic (2.17e-1)"	"unprognostic (1.63e-3)"	"unprognostic (6.30e-4)"	"unprognostic (1.95e-3)"	"unprognostic (6.95e-3)"	"unprognostic (5.18e-2)"	"unprognostic (6.38e-3)"	"unprognostic (1.47e-1)"	"unprognostic (8.43e-3)"	"unprognostic (3.11e-2)"	"unprognostic (1.49e-2)"	"unprognostic (4.69e-2)"	"unprognostic (2.71e-2)"	"unprognostic (1.40e-1)"
TSHZ1	"NY-CO-33, SDCCAG33, TSH1"	ENSG00000179981	"Teashirt zinc finger homeobox 1"	Q6ZSZ6	18	75210755-75289950	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Oligodendrocyte precursor cells: 79.7;Peritubular cells: 184.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Endothelial cells, Testis - Peritubular cells"	"Region enriched"	"Detected in all"	5	"olfactory bulb: 115.6"	"Low region specificity"	"Detected in all"			HPA006982	Approved		Approved	Nucleoplasm			NA	NA			"Cluster 1: T-cells - Unknown function"	"Cluster 62: Connective tissue - ECM organization"	"Cluster 37: Neurons - Mixed function"	"Cluster 13: Non-specific - Mixed function"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"		Nucleoplasm		"HPA006982: AB_1079886"	"unprognostic (2.02e-1)"	"unprognostic (2.61e-2)"	"unprognostic (4.03e-1)"	"unprognostic (5.89e-2)"	"unprognostic (1.66e-1)"	"unprognostic (1.23e-2)"	"unprognostic (1.27e-1)"	"unprognostic (1.24e-1)"	"unprognostic (4.12e-2)"	"unprognostic (9.05e-2)"	"unprognostic (5.64e-2)"	"unprognostic (1.69e-1)"	"unprognostic (3.43e-3)"	"unprognostic (1.26e-1)"	"unprognostic (8.00e-2)"	"prognostic unfavorable (1.71e-5)"	"unprognostic (3.42e-3)"
