riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs3853824-?	4E-6	-	NR	-	-	-	C17orf67	"Crohn's disease"	"Crohn's disease"	-	GCST004132	17:56803632	28067908	"de Lange KM"
rs2636006-?	4E-6	-	NR	-	-	-	MAGI3	"Crohn's disease"	"Crohn's disease"	-	GCST004132	1:113623135	28067908	"de Lange KM"
rs559928-?	5E-6	-	NR	-	-	-	LINC02723,RPS6KA4	"Crohn's disease"	"Crohn's disease"	-	GCST004132	11:64382898	28067908	"de Lange KM"
rs10065637-?	5E-6	-	NR	-	-	-	ANKRD55	"Crohn's disease"	"Crohn's disease"	-	GCST004132	5:56143024	28067908	"de Lange KM"
rs76527535-?	5E-6	-	NR	-	-	-	BOK-AS1	"Crohn's disease"	"Crohn's disease"	-	GCST004132	2:241545286	28067908	"de Lange KM"
rs7954567-?	5E-9	-	NR	-	-	-	LTBR	"Crohn's disease"	"Crohn's disease"	-	GCST004132	12:6381959	28067908	"de Lange KM"
rs1847472-?	6E-9	-	NR	-	-	-	BACH2	"Crohn's disease"	"Crohn's disease"	-	GCST004132	6:90263440	28067908	"de Lange KM"
rs2581828-?	7E-9	-	NR	-	-	-	RFT1	"Crohn's disease"	"Crohn's disease"	-	GCST004132	3:53099133	28067908	"de Lange KM"
rs34687326-?	1E-8	-	NR	-	-	-	SLAMF8	"Crohn's disease"	"Crohn's disease"	-	GCST004132	1:159830120	28067908	"de Lange KM"
rs9358372-?	1E-8	-	NR	-	-	-	CDKAL1	"Crohn's disease"	"Crohn's disease"	-	GCST004132	6:20812357	28067908	"de Lange KM"
rs61839660-?	2E-8	-	NR	-	-	-	IL2RA	"Crohn's disease"	"Crohn's disease"	-	GCST004132	10:6052734	28067908	"de Lange KM"
rs71559680-?	2E-8	-	NR	-	-	-	CDKAL1,LINC00581	"Crohn's disease"	"Crohn's disease"	-	GCST004132	6:21430497	28067908	"de Lange KM"
rs10775412-?	3E-8	-	NR	-	-	-	KSR1	"Crohn's disease"	"Crohn's disease"	-	GCST004132	17:27542007	28067908	"de Lange KM"
rs13126505-?	4E-8	-	NR	-	-	-	BANK1	"Crohn's disease"	"Crohn's disease"	-	GCST004132	4:101944147	28067908	"de Lange KM"
rs6738825-?	7E-8	-	NR	-	-	-	PLCL1	"Crohn's disease"	"Crohn's disease"	-	GCST004132	2:198032171	28067908	"de Lange KM"
rs6586030-?	7E-8	-	NR	-	-	-	TSPAN14	"Crohn's disease"	"Crohn's disease"	-	GCST004132	10:80494291	28067908	"de Lange KM"
rs724016-?	8E-8	-	NR	-	-	-	ZBTB38	"Crohn's disease"	"Crohn's disease"	-	GCST004132	3:141386728	28067908	"de Lange KM"
rs13407913-?	9E-8	-	NR	-	-	-	ADCY3	"Crohn's disease"	"Crohn's disease"	-	GCST004132	2:24874775	28067908	"de Lange KM"
rs529866-?	1E-7	-	NR	-	-	-	RMI2	"Crohn's disease"	"Crohn's disease"	-	GCST004132	16:11279463	28067908	"de Lange KM"
rs1569328-?	1E-7	-	NR	-	-	-	U2,FOS	"Crohn's disease"	"Crohn's disease"	-	GCST004132	14:75275048	28067908	"de Lange KM"
rs17119-?	2E-7	-	NR	-	-	-	RNU6-793P,RPL6P17	"Crohn's disease"	"Crohn's disease"	-	GCST004132	6:14719265	28067908	"de Lange KM"
rs395157-?	2E-7	-	NR	-	-	-	OSMR	"Crohn's disease"	"Crohn's disease"	-	GCST004132	5:38867630	28067908	"de Lange KM"
rs1569723-?	2E-7	-	NR	-	-	-	CD40,RPL13P2	"Crohn's disease"	"Crohn's disease"	-	GCST004132	20:46113425	28067908	"de Lange KM"
rs3180018-?	2E-7	-	NR	-	-	-	SCAMP3	"Crohn's disease"	"Crohn's disease"	-	GCST004132	1:155260340	28067908	"de Lange KM"
rs67289879-?	2E-7	-	NR	-	-	-	CCND3	"Crohn's disease"	"Crohn's disease"	-	GCST004132	6:42039665	28067908	"de Lange KM"
rs4256018-?	2E-7	-	NR	-	-	-	FERMT1	"Crohn's disease"	"Crohn's disease"	-	GCST004132	20:6113242	28067908	"de Lange KM"
rs11734570-?	4E-7	-	NR	-	-	-	LINC02278,KLF3-AS1	"Crohn's disease"	"Crohn's disease"	-	GCST004132	4:38586832	28067908	"de Lange KM"
rs4802307-?	4E-7	-	NR	-	-	-	PPP5C,HIF3A	"Crohn's disease"	"Crohn's disease"	-	GCST004132	19:46346549	28067908	"de Lange KM"
rs2062305-?	4E-7	-	NR	-	-	-	LINC02341	"Crohn's disease"	"Crohn's disease"	-	GCST004132	13:42478744	28067908	"de Lange KM"
rs2836878-?	4E-7	-	NR	-	-	-	LINC02940,RPL23AP12	"Crohn's disease"	"Crohn's disease"	-	GCST004132	21:39093608	28067908	"de Lange KM"
rs34687326-G	1E-6	-	0.9	1.18	-	[1.12–1.24]	SLAMF8	"Crohn's disease"	"Crohn's disease"	-	GCST004132	1:159830120	28067908	"de Lange KM"
rs2581828-C	6E-9	-	0.597	1.1	-	[1.07–1.13]	RFT1	"Crohn's disease"	"Crohn's disease"	-	GCST004132	3:53099133	28067908	"de Lange KM"
rs56116661-C	6E-10	-	0.795	1.14	-	[1.10–1.18]	LPP	"Crohn's disease"	"Crohn's disease"	-	GCST004132	3:188683372	28067908	"de Lange KM"
rs80244186-C	4E-8	-	0.111	1.13	-	[1.09–1.18]	LINC02341	"Crohn's disease"	"Crohn's disease"	-	GCST004132	13:42343725	28067908	"de Lange KM"
rs4821544-C	2E-8	-	0.321	1.1	-	[1.07–1.13]	NCF4-AS1,NCF4	"Crohn's disease"	"Crohn's disease"	-	GCST004132	22:36862461	28067908	"de Lange KM"
rs10492862-A	1E-9	-	0.308	1.11	-	[1.08–1.15]	CDH13	"Crohn's disease"	"Crohn's disease"	-	GCST004132	16:82833851	28067908	"de Lange KM"
rs1456896-?	9E-12	-	NR	-	-	-	IKZF1,SPATA48	"Crohn's disease"	"Crohn's disease"	-	GCST004132	7:50264865	28067908	"de Lange KM"
rs12942547-?	2E-11	-	NR	-	-	-	STAT3	"Crohn's disease"	"Crohn's disease"	-	GCST004132	17:42375526	28067908	"de Lange KM"
rs516246-?	4E-11	-	NR	-	-	-	FUT2	"Crohn's disease"	"Crohn's disease"	-	GCST004132	19:48702915	28067908	"de Lange KM"
rs10495903-?	4E-11	-	NR	-	-	-	THADA	"Crohn's disease"	"Crohn's disease"	-	GCST004132	2:43579779	28067908	"de Lange KM"
rs2488397-?	5E-11	-	NR	-	-	-	DENND1B	"Crohn's disease"	"Crohn's disease"	-	GCST004132	1:197732149	28067908	"de Lange KM"
rs11195128-?	5E-11	-	NR	-	-	-	DUSP5-DT,SMNDC1	"Crohn's disease"	"Crohn's disease"	-	GCST004132	10:110426390	28067908	"de Lange KM"
rs13001325-?	6E-11	-	NR	-	-	-	IL1RL1,IL18R1	"Crohn's disease"	"Crohn's disease"	-	GCST004132	2:102322576	28067908	"de Lange KM"
rs1260326-?	6E-11	-	NR	-	-	-	GCKR	"Crohn's disease"	"Crohn's disease"	-	GCST004132	2:27508073	28067908	"de Lange KM"
rs6651252-?	9E-11	-	NR	-	-	-	LINC00824	"Crohn's disease"	"Crohn's disease"	-	GCST004132	8:128554935	28067908	"de Lange KM"
rs212388-?	1E-10	-	NR	-	-	-	TAGAP-AS1	"Crohn's disease"	"Crohn's disease"	-	GCST004132	6:159069404	28067908	"de Lange KM"
rs6740847-?	1E-10	-	NR	-	-	-	ITGA4,LINC01934	"Crohn's disease"	"Crohn's disease"	-	GCST004132	2:181443625	28067908	"de Lange KM"
rs7554511-?	1E-10	-	NR	-	-	-	INAVA	"Crohn's disease"	"Crohn's disease"	-	GCST004132	1:200908434	28067908	"de Lange KM"
rs28449958-?	3E-10	-	NR	-	-	-	IL27,NUPR1	"Crohn's disease"	"Crohn's disease"	-	GCST004132	16:28517460	28067908	"de Lange KM"
rs1042058-?	5E-10	-	NR	-	-	-	MAP3K8	"Crohn's disease"	"Crohn's disease"	-	GCST004132	10:30439172	28067908	"de Lange KM"
rs56116661-?	6E-10	-	NR	-	-	-	LPP	"Crohn's disease"	"Crohn's disease"	-	GCST004132	3:188683372	28067908	"de Lange KM"
rs925255-?	1E-9	-	NR	-	-	-	FOSL2-AS1	"Crohn's disease"	"Crohn's disease"	-	GCST004132	2:28391927	28067908	"de Lange KM"
rs17694108-?	1E-9	-	NR	-	-	-	CEBPA,SLC7A10	"Crohn's disease"	"Crohn's disease"	-	GCST004132	19:33240645	28067908	"de Lange KM"
rs2227564-?	2E-9	-	NR	-	-	-	C10orf55,PLAU	"Crohn's disease"	"Crohn's disease"	-	GCST004132	10:73913343	28067908	"de Lange KM"
rs9491697-?	2E-9	-	NR	-	-	-	RSPO3	"Crohn's disease"	"Crohn's disease"	-	GCST004132	6:127134977	28067908	"de Lange KM"
rs4286721-G	3E-6	-	NR	1.3368983	-	[1.18-1.51]	RNU1-150P,TTC33	"Crohn's disease"	"Crohn's disease"	-	GCST008730	5:40497502	26278503	"Huang C"
rs78898421-?	3E-26	-	0.47	2.1	-	NR	DELEC1,TNFSF15	"Crohn's disease"	"Crohn's disease"	-	GCST007216	9:114831987	30500874	"Kakuta Y"
rs224136-?	9E-9	-	0.703	1.5873016	-	NR	ALDH7A1P4,LINC02929	"Crohn's disease"	"Crohn's disease"	-	GCST007216	10:62710915	30500874	"Kakuta Y"
rs73243351-?	4E-8	-	0.203	1.53	-	NR	TBC1D1,LINC02513	"Crohn's disease"	"Crohn's disease"	-	GCST007216	4:38333446	30500874	"Kakuta Y"
rs56167332-?	9E-8	-	0.381	1.43	-	NR	IL12B,LINC01845	"Crohn's disease"	"Crohn's disease"	-	GCST007216	5:159400761	30500874	"Kakuta Y"
rs56354901-?	6E-7	-	0.122	1.59	-	NR	IL27	"Crohn's disease"	"Crohn's disease"	-	GCST007216	16:28511823	30500874	"Kakuta Y"
rs76418789-?	7E-7	-	0.923	2.3255813	-	NR	IL23R,C1orf141	"Crohn's disease"	"Crohn's disease"	-	GCST007216	1:67182913	30500874	"Kakuta Y"
rs184950714-?	4E-19	-	0.156	2.05	-	NR	MTCO3P1,HLA-DQB1	"Crohn's disease"	"Crohn's disease"	-	GCST007216	6:32668951	30500874	"Kakuta Y"
rs488200-T	4E-8	-	0.451	1.31	-	-	INKA2	"Crohn's disease"	"Crohn's disease"	-	GCST007216	1:111720204	30500874	"Kakuta Y"
rs4727354-T	7E-6	-	0.043	1.59	-	NR	CCDC146,GSAP	"Crohn's disease"	"Crohn's disease"	-	GCST007216	7:77319034	30500874	"Kakuta Y"
rs1992660-?	4E-7	" "	0.39	1.42	-	[1.24-1.67]	RNU1-150P,TTC33	"Crohn's disease"	"Crohn's disease"	-	GCST000066	5:40414965	17684544	"Franke A"
rs1793004-?	3E-6	" "	0.27	1.3	-	[1.12-1.52]	NELL1	"Crohn's disease"	"Crohn's disease"	-	GCST000066	11:20677383	17684544	"Franke A"
rs2076756-?	1E-21	" "	0.27	1.71	-	[1.42-2.05]	NOD2	"Crohn's disease"	"Crohn's disease"	-	GCST000066	16:50722970	17684544	"Franke A"
rs212388-C	3E-14	-	0.41	1.105	-	[1.069-1.141]	TAGAP-AS1	"Crohn's disease"	"Crohn's disease"	-	GCST001729	6:159069404	23128233	"Jostins L"
rs2024092-A	8E-22	-	0.215	1.156	-	[1.112-1.201]	SBNO2	"Crohn's disease"	"Crohn's disease"	-	GCST001729	19:1124032	23128233	"Jostins L"
rs10865331-A	1E-9	-	0.396	1.098	-	[1.062-1.134]	RN7SL18P,RN7SL51P	"Crohn's disease"	"Crohn's disease"	-	GCST001729	2:62324337	23128233	"Jostins L"
rs516246-T	1E-15	-	0.483	1.107	-	[1.071-1.143]	FUT2	"Crohn's disease"	"Crohn's disease"	-	GCST001729	19:48702915	23128233	"Jostins L"
rs1728918-A	5E-16	-	0.299	1.123	-	[1.086-1.16]	NRBP1,PPM1G	"Crohn's disease"	"Crohn's disease"	-	GCST001729	2:27412596	23128233	"Jostins L"
rs9491697-G	4E-10	-	0.439	1.077	-	[1.042-1.112]	RSPO3	"Crohn's disease"	"Crohn's disease"	-	GCST001729	6:127134977	23128233	"Jostins L"
rs7702331-A	6E-10	-	0.621	1.088	-	[1.05-1.126]	LINC02230,TMEM174	"Crohn's disease"	"Crohn's disease"	-	GCST001729	5:73255307	23128233	"Jostins L"
rs12663356-C	4E-12	-	0.533	1.095	-	[1.06-1.131]	CDKAL1,LINC00581	"Crohn's disease"	"Crohn's disease"	-	GCST001729	6:21430497	23128233	"Jostins L"
rs6716753-C	1E-16	-	0.196	1.134	-	[1.089-1.18]	SP140	"Crohn's disease"	"Crohn's disease"	-	GCST001729	2:230232414	23128233	"Jostins L"
rs12994997-A	4E-70	-	0.523	1.233	-	[1.193-1.274]	ATG16L1	"Crohn's disease"	"Crohn's disease"	-	GCST001729	2:233264857	23128233	"Jostins L"
rs6837335-G	2E-8	-	0.647	1.086	-	[1.049-1.123]	SLAIN2	"Crohn's disease"	"Crohn's disease"	-	GCST001729	4:48361966	23128233	"Jostins L"
rs10486483-A	3E-8	-	0.247	1.089	-	[1.048-1.13]	SKAP2	"Crohn's disease"	"Crohn's disease"	-	GCST001729	7:26852821	23128233	"Jostins L"
rs6679677-C	2E-15	-	0.907	1.196	-	[1.129-1.268]	RSBN1,PHTF1	"Crohn's disease"	"Crohn's disease"	-	GCST001729	1:113761186	23128233	"Jostins L"
rs3897478-T	2E-11	-	0.891	1.161	-	[1.101-1.224]	NOTCH2,ADAM30	"Crohn's disease"	"Crohn's disease"	-	GCST001729	1:119908567	23128233	"Jostins L"
rs9286879-G	6E-22	-	0.249	1.125	-	[1.083-1.167]	AIMP1P2,TNFSF18	"Crohn's disease"	"Crohn's disease"	-	GCST001729	1:172893094	23128233	"Jostins L"
rs864745-T	4E-9	-	0.497	1.087	-	[1.052-1.123]	JAZF1	"Crohn's disease"	"Crohn's disease"	-	GCST001729	7:28140937	23128233	"Jostins L"
rs7015630-T	1E-8	-	0.739	1.075	-	[1.035-1.116]	RNU6-925P,COX6B1P6	"Crohn's disease"	"Crohn's disease"	-	GCST001729	8:89863690	23128233	"Jostins L"
rs3764147-G	2E-21	-	0.248	1.155	-	[1.112-1.199]	LACC1	"Crohn's disease"	"Crohn's disease"	-	GCST001729	13:43883789	23128233	"Jostins L"
rs2066847-T	6E-209	-	0.024	3.103	-	[1.497-1.618]	NOD2,CYLD-AS1	"Crohn's disease"	"Crohn's disease"	-	GCST001729	16:50729868	23128233	"Jostins L"
rs2945412-A	9E-17	-	0.587	1.137	-	[1.10-1.175]	KSR1	"Crohn's disease"	"Crohn's disease"	-	GCST001729	17:27516617	23128233	"Jostins L"
rs13126505-A	2E-12	-	0.096	1.172	-	[1.10-1.248]	BANK1	"Crohn's disease"	"Crohn's disease"	-	GCST001729	4:101944147	23128233	"Jostins L"
rs4802307-G	2E-10	-	0.706	1.099	-	[1.06-1.139]	PPP5C,HIF3A	"Crohn's disease"	"Crohn's disease"	-	GCST001729	19:46346549	23128233	"Jostins L"
rs10065637-C	4E-12	-	0.773	1.123	-	[1.079-1.17]	ANKRD55	"Crohn's disease"	"Crohn's disease"	-	GCST001729	5:56143024	23128233	"Jostins L"
rs2284553-G	2E-16	-	0.599	1.123	-	[1.086-1.162]	IFNGR2	"Crohn's disease"	"Crohn's disease"	-	GCST001729	21:33404389	23128233	"Jostins L"
rs17391694-C	3E-9	-	0.889	1.134	-	[1.077-1.194]	GIPC2,RNFT1P2	"Crohn's disease"	"Crohn's disease"	-	GCST001729	1:78157942	23128233	"Jostins L"
rs13204742-T	8E-15	-	0.124	1.173	-	[1.118-1.23]	PTPRK,THEMIS	"Crohn's disease"	"Crohn's disease"	-	GCST001729	6:127924620	23128233	"Jostins L"
rs17695092-T	5E-9	-	0.703	1.095	-	[1.055-1.136]	CPEB4	"Crohn's disease"	"Crohn's disease"	-	GCST001729	5:173910850	23128233	"Jostins L"
rs9264942-C	5E-28	-	0.378	1.145	-	[1.107-1.184]	HLA-B,LINC02571	"Crohn's disease"	"Crohn's disease"	-	GCST001729	6:31306603	23128233	"Jostins L"
rs6651252-T	1E-16	-	0.865	1.185	-	[1.128-1.246]	LINC00824	"Crohn's disease"	"Crohn's disease"	-	GCST001729	8:128554935	23128233	"Jostins L"
rs16967103-C	4E-9	-	0.203	1.088	-	[1.045-1.132]	LINC02694,RASGRP1	"Crohn's disease"	"Crohn's disease"	-	GCST001729	15:38606989	23128233	"Jostins L"
"rs1343151-?,rs12567232-?,rs2902440-?,rs11209003-?,rs2201841-?,rs1004819-?,rs11465804-?,rs6669582-?,rs10789230-?,rs11209002-?,rs2064689-?,rs11465802-?,rs10889677-?,rs11209026-?,rs10889676-?,rs9988642-?"	1E-8	-	0.23	1.38	-	[1.23-1.53]	"IL23R; IL23R - RNU4ATAC4P; C1orf141; IL23R; C1orf141; C1orf141; IL23R; C1orf141; IL23R; IL23R; IL23R - RNU4ATAC4P; IL23R - RNU4ATAC4P; C1orf141; IL23R; C1orf141; IL23R; C1orf141; IL23R; IL23R; IL23R; IL23R - RNU4ATAC4P"	"Crohn's disease"	"Crohn's disease"	-	GCST000071	"1:67253446,1:67262335,1:67205233,1:67135449,1:67228519,1:67204530,1:67236843,1:67264372,1:67264945,1:67124778,1:67187327,1:67219915,1:67259437,1:67240275,1:67256884,1:67260421"	17804789	"Raelson JV"
"rs1343151-?,rs12567232-?,rs2902440-?,rs11209003-?,rs2201841-?,rs1004819-?,rs11465804-?,rs6669582-?,rs10789230-?,rs11209002-?,rs2064689-?,rs11465802-?,rs10889677-?,rs11209026-?,rs10889676-?,rs9988642-?"	2E-7	-	0.97	2.56	-	[1.75-3.70]	"IL23R; IL23R - RNU4ATAC4P; C1orf141; IL23R; C1orf141; C1orf141; IL23R; C1orf141; IL23R; IL23R; IL23R - RNU4ATAC4P; IL23R - RNU4ATAC4P; C1orf141; IL23R; C1orf141; IL23R; C1orf141; IL23R; IL23R; IL23R; IL23R - RNU4ATAC4P"	"Crohn's disease"	"Crohn's disease"	-	GCST000071	"1:67253446,1:67262335,1:67205233,1:67135449,1:67228519,1:67204530,1:67236843,1:67264372,1:67264945,1:67124778,1:67187327,1:67219915,1:67259437,1:67240275,1:67256884,1:67260421"	17804789	"Raelson JV"
rs5743289-?	6E-17	" "	NR	-	-	-	NOD2	"Crohn's disease"	"Crohn's disease"	-	GCST000071	16:50722863	17804789	"Raelson JV"
rs1869839-?	7E-6	-	0.64	1.2	-	[1.11-1.3]	MDFIC,FOXP2	"Crohn's disease"	"Crohn's disease"	-	GCST001652	7:114717488	22936669	"Julià A"
rs2834215-?	3E-7	-	0.58	1.22	-	[1.12-1.32]	IFNGR2	"Crohn's disease"	"Crohn's disease"	-	GCST001652	21:33424579	22936669	"Julià A"
rs4820425-A	3E-8	-	0.24	1.27	-	[1.17-1.38]	Y_RNA,RBX1	"Crohn's disease"	"Crohn's disease"	-	GCST001652	22:41035338	22936669	"Julià A"
rs2076756-G	3E-10	-	NR	1.46	-	[NR]	NOD2	"Crohn's disease"	"Crohn's disease"	-	GCST001652	16:50722970	22936669	"Julià A"
rs11209026-G	4E-14	-	NR	2.84	-	[NR]	IL23R	"Crohn's disease"	"Crohn's disease"	-	GCST001652	1:67240275	22936669	"Julià A"
rs3792109-A	5E-9	-	NR	1.38	-	[NR]	ATG16L1,SCARNA5	"Crohn's disease"	"Crohn's disease"	-	GCST001652	2:233275771	22936669	"Julià A"
rs11742570-C	1E-6	-	NR	1.32	-	[NR]	RNU1-150P,TTC33	"Crohn's disease"	"Crohn's disease"	-	GCST001652	5:40410482	22936669	"Julià A"
rs10761659-G	5E-6	-	NR	1.28	-	[NR]	LINC02929,ALDH7A1P4	"Crohn's disease"	"Crohn's disease"	-	GCST001652	10:62685804	22936669	"Julià A"
rs9348876-T	3E-6	-	0.06	1.41	-	[1.22-1.63]	NCR3,UQCRHP1	"Crohn's disease"	"Crohn's disease"	-	GCST001652	6:31607499	22936669	"Julià A"
rs4077515-T	4E-6	-	NR	1.29	-	[NR]	CARD9	"Crohn's disease"	"Crohn's disease"	-	GCST001652	9:136372044	22936669	"Julià A"
rs9271366-A	5E-12	-	0.888	1.66	-	[1.44-1.92]	HLA-DQA1,HLA-DRB1	"Crohn's disease"	"Crohn's disease"	-	GCST002094	6:32619077	23850713	"Yang SK"
rs76418789-G	2E-10	-	0.931	2.06	-	[1.64-2.58]	IL23R,C1orf141	"Crohn's disease"	"Crohn's disease"	-	GCST002094	1:67182913	23850713	"Yang SK"
rs6856616-C	4E-14	-	0.23	1.43	-	[1.31-1.57]	LINC02513,TBC1D1	"Crohn's disease"	"Crohn's disease"	-	GCST002094	4:38323415	23850713	"Yang SK"
rs10947261-T	3E-12	-	0.294	1.36	-	[1.25-1.49]	BTNL2,TSBP1-AS1	"Crohn's disease"	"Crohn's disease"	-	GCST002094	6:32405455	23850713	"Yang SK"
rs751728-T	1E-8	-	0.733	1.32	-	[1.20-1.45]	MLN	"Crohn's disease"	"Crohn's disease"	-	GCST002094	6:33796256	23850713	"Yang SK"
rs2149085-T	8E-12	-	0.379	1.34	-	[1.23-1.45]	MIR3939,RNASET2	"Crohn's disease"	"Crohn's disease"	-	GCST002094	6:166957622	23850713	"Yang SK"
rs11195128-T	2E-10	-	0.152	1.42	-	[1.28-1.58]	DUSP5-DT,SMNDC1	"Crohn's disease"	"Crohn's disease"	-	GCST002094	10:110426390	23850713	"Yang SK"
rs11235667-G	7E-9	-	0.096	1.46	-	[1.28-1.65]	FCHSD2,IUR1	"Crohn's disease"	"Crohn's disease"	-	GCST002094	11:73152652	23850713	"Yang SK"
rs114985235-C	9E-23	-	0.12	2.25	-	[1.91-2.66]	HLA-B,LINC02571	"Crohn's disease"	"Crohn's disease"	-	GCST003360	6:31301916	26891255	"Jung ES"
rs9271060-G	1E-22	-	0.77	2.857143	-	[2.33-3.57]	HLA-DQA1,HLA-DRB1	"Crohn's disease"	"Crohn's disease"	-	GCST003360	6:32607736	26891255	"Jung ES"
rs293526-T	2E-11	-	0.82	2.1276596	-	[1.69-2.63]	UBE3D	"Crohn's disease"	"Crohn's disease"	-	GCST003360	6:82938337	26891255	"Jung ES"
rs6478109-G	5E-25	-	0.51	2.0833335	-	[1.82-2.38]	DELEC1,TNFSF15	"Crohn's disease"	"Crohn's disease"	-	GCST003360	9:114806486	26891255	"Jung ES"
rs140068907-C	1E-11	-	0.08	1.98	-	[1.62-2.41]	HLA-DQB1,MTCO3P1	"Crohn's disease"	"Crohn's disease"	-	GCST003360	6:32691666	26891255	"Jung ES"
rs10817678-A	1E-76	-	NR	2.09	-	-	TNFSF15,DELEC1	"Crohn's disease"	"Crohn's disease"	-	GCST90103738	9:114817177	35512355	"Jung S"
rs56167332-A	1E-10	-	NR	1.32	-	-	IL12B,LINC01845	"Crohn's disease"	"Crohn's disease"	-	GCST90103738	5:159400761	35512355	"Jung S"
rs2024825-T	5E-6	-	NR	1.39	-	-	C1orf141	"Crohn's disease"	"Crohn's disease"	-	GCST90103738	1:67132294	35512355	"Jung S"
rs77992257-G	1E-7	-	NR	1.26	-	-	ADAP1,COX19	"Crohn's disease"	"Crohn's disease"	-	GCST90103738	7:950350	35512355	"Jung S"
rs4787458-G	2E-7	-	NR	1.38	-	-	NUPR1,IL27	"Crohn's disease"	"Crohn's disease"	-	GCST90103738	16:28519966	35512355	"Jung S"
rs76418789-?	4E-7	-	NR	1.1363636	-	[1.08-1.19]	IL23R,C1orf141	"Crohn's disease"	"Crohn's disease"	-	GCST010577	1:67182913	32581322	"Kakuta Y"
rs117742432-?	7E-6	-	NR	1.1627907	-	[1.09-1.23]	SULF1	"Crohn's disease"	"Crohn's disease"	-	GCST010577	8:69560258	32581322	"Kakuta Y"
rs55951892-?	2E-23	-	NR	1.1235955	-	[1.1-1.16]	DELEC1,TNFSF15	"Crohn's disease"	"Crohn's disease"	-	GCST010577	9:114813633	32581322	"Kakuta Y"
rs117223925-?	6E-6	-	NR	1.1111112	-	[1.06-1.16]	VSTM2B	"Crohn's disease"	"Crohn's disease"	-	GCST010577	19:29530539	32581322	"Kakuta Y"
rs12647478-?	8E-6	-	NR	1.0869565	-	[1.05-1.14]	HSP90AA4P,LINC02508	"Crohn's disease"	"Crohn's disease"	-	GCST010577	4:188972159	32581322	"Kakuta Y"
rs224136-?	1E-7	-	NR	1.0752687	-	[1.05-1.11]	ALDH7A1P4,LINC02929	"Crohn's disease"	"Crohn's disease"	-	GCST010577	10:62710915	32581322	"Kakuta Y"
rs151258497-?	5E-6	-	NR	1.0638298	-	[1.03-1.09]	TRPM3	"Crohn's disease"	"Crohn's disease"	-	GCST010577	9:71266959	32581322	"Kakuta Y"
rs6126698-?	8E-6	-	NR	1.0638298	-	[1.03-1.1]	TSHZ2,RPL36P1	"Crohn's disease"	"Crohn's disease"	-	GCST010577	20:52931763	32581322	"Kakuta Y"
rs534888-?	7E-6	-	NR	1.0526316	-	[1.03-1.09]	RAP1A	"Crohn's disease"	"Crohn's disease"	-	GCST010577	1:111680080	32581322	"Kakuta Y"
rs12678162-?	3E-6	-	NR	1.06	-	[1.03-1.08]	PVT1,RN7SKP226	"Crohn's disease"	"Crohn's disease"	-	GCST010577	8:128212448	32581322	"Kakuta Y"
rs56167332-?	3E-7	-	NR	1.07	-	[1.04-1.09]	IL12B,LINC01845	"Crohn's disease"	"Crohn's disease"	-	GCST010577	5:159400761	32581322	"Kakuta Y"
rs2833577-?	1E-6	-	NR	1.07	-	[1.04-1.11]	HUNK	"Crohn's disease"	"Crohn's disease"	-	GCST010577	21:31954469	32581322	"Kakuta Y"
rs55843528-?	2E-7	-	NR	1.08	-	[1.05-1.11]	LINC02513,TBC1D1	"Crohn's disease"	"Crohn's disease"	-	GCST010577	4:38359795	32581322	"Kakuta Y"
rs56354901-?	2E-6	-	NR	1.09	-	[1.05-1.13]	IL27	"Crohn's disease"	"Crohn's disease"	-	GCST010577	16:28511823	32581322	"Kakuta Y"
rs7515774-?	1E-6	-	NR	1.1	-	[1.06-1.15]	PLA2G2D,PLA2G5	"Crohn's disease"	"Crohn's disease"	-	GCST010577	1:20111141	32581322	"Kakuta Y"
rs781387485-?	3E-6	-	NR	1.11	-	[1.06-1.16]	GABRB3,GABRA5	"Crohn's disease"	"Crohn's disease"	-	GCST010577	15:26911391	32581322	"Kakuta Y"
rs11227126-?	2E-6	-	NR	1.12	-	[1.07-1.18]	HIGD1AP10,SYVN1	"Crohn's disease"	"Crohn's disease"	-	GCST010577	11:65140591	32581322	"Kakuta Y"
rs4727354-?	3E-6	-	NR	1.14	-	[1.08-1.20]	CCDC146,GSAP	"Crohn's disease"	"Crohn's disease"	-	GCST010577	7:77319034	32581322	"Kakuta Y"
rs9623882-?	2E-6	-	NR	1.14	-	[1.08-1.20]	IGLV3-21	"Crohn's disease"	"Crohn's disease"	-	GCST010577	22:22712129	32581322	"Kakuta Y"
rs184950714-?	1E-17	-	NR	1.16	-	[1.12-1.19]	MTCO3P1,HLA-DQB1	"Crohn's disease"	"Crohn's disease"	-	GCST010577	6:32668951	32581322	"Kakuta Y"
rs10068082-?	2E-6	-	NR	1.17	-	[1.10-1.26]	PIK3R1,VWA8P1	"Crohn's disease"	"Crohn's disease"	-	GCST010577	5:68395641	32581322	"Kakuta Y"
rs200319458-?	8E-6	-	NR	1.19	-	[1.10-1.29]	THSD7A,TMEM106B	"Crohn's disease"	"Crohn's disease"	-	GCST010577	7:12182175	32581322	"Kakuta Y"
chr20:47804952-?	3E-6	-	NR	1.21	-	[1.12-1.32]	-	"Crohn's disease"	"Crohn's disease"	-	GCST010577	-	32581322	"Kakuta Y"
